LABELS
SEPARATOR COMMA
DATA
AUX62840.1,AUX62840.1 | Escherichia coli -:H28
AXO85837.1,AXO85837.1 | Escherichia coli
EEU1436664.1,EEU1436664.1 | Escherichia coli O13:H20
EEV6173070.1,EEV6173070.1 | Escherichia coli -:H45
EEW3329860.1,EEW3329860.1 | Escherichia albertii
EEW4813662.1,EEW4813662.1 | Escherichia coli O17/77:H12
EEW8726975.1,EEW8726975.1 | Escherichia coli O157:H7
EEW8731021.1,EEW8731021.1 | Escherichia coli -:H20
EFA4797329.1,EFA4797329.1 | Escherichia coli O167:H9
EFF06704.1,EFF06704.1 | Escherichia coli O96:H46
EFH3871650.1,EFH3871650.1 | Escherichia coli
EFI6377046.1,EFI6377046.1 | Escherichia coli O1:H37
EFJ1935778.1,EFJ1935778.1 | Escherichia coli O24:H40
EFM6015040.1,EFM6015040.1 | Escherichia coli -:H18
EFP6907317.1,EFP6907317.1 | Shigella dysenteriae O52:H45
EFW0658533.1,EFW0658533.1 | Shigella dysenteriae O52:H45
EFW7504363.1,EFW7504363.1 | Shigella sonnei O145
EGD7149000.1,EGD7149000.1 | Shigella dysenteriae -:H19
EGD7494482.1,EGD7494482.1 | Shigella dysenteriae -:H45
EGE6595580.1,EGE6595580.1 | Escherichia coli O157
EGI3990927.1,EGI3990927.1 | Escherichia coli OX25:H31
EGK9459686.1,EGK9459686.1 | Escherichia coli O22:H49
EGM7792188.1,EGM7792188.1 | Escherichia coli O154:H31
EGP 4638213.10,EGP 4638213.10 | Escherichia coli -:H26
EHK7383385.1,EHK7383385.1 | Escherichia coli -:H2
EHR8279536.1,EHR8279536.1 | Escherichia coli O73:H49
EHT1093178.1,EHT1093178.1 | Escherichia coli O22:H18
EIH4672592.1,EIH4672592.1 | Escherichia coli O1:H45
EII3506183.1,EII3506183.1 | Escherichia coli O183:H34
EJG6373082.1,EJG6373082.1 | Escherichia coli O118/151:H28
EJN2315801.1,EJN2315801.1 | Escherichia coli D1:H39
EJV4778219.1,EJV4778219.1 | Shigella dysenteriae O52:H45
EKY4422489.1,EKY4422489.1 | Escherichia coli O24:H26
ELD0454108.1,ELD0454108.1 | Escherichia coli -:H46
ELT8056872.1,ELT8056872.1 | Escherichia coli O52:H45
EMB7580293.1,EMB7580293.1 | Escherichia coli O170:H14
EMC8919671.1,EMC8919671.1 | Shigella sonnei
